Treatment,Species,Canker.Area
Erie,American,219.9114858
Erie Control,American,23.5619449
Erie Control,Chinese,15.70796327
Erie,Chinese,527.7875658
Erie Control,Hybrid,37.69911184
Erie Control,Red,23.5619449
Erie Control,American,15.70796327
Erie Control,Chinese,23.5619449
Erie Control,Hybrid,23.5619449
Erie,Hybrid,333.7942194
Erie,Red,32.98672286
Erie,American,56.54866776
Erie Control,Red,28.27433388
Erie,Chinese,172.7875959
Erie,Hybrid,70.68583471
Erie Control,American,27.48893572
Erie Control,Chinese,21.99114858
Erie Control,Hybrid,49.48008429
Erie,Red,56.54866776
Erie Control,Red,27.48893572
Erie Control,American,23.5619449
Erie Control,Chinese,15.70796327
Erie,American,63.61725124
Erie Control,Hybrid,28.27433388
Erie,Chinese,247.4004215
Erie,Hybrid,292.1681168
Erie,Red,626.7477344
Erie,American,82.46680716
Erie,Chinese,175.9291886
Erie Control,Red,15.70796327
Erie,Hybrid,50.26548246
Erie,Red,84.82300165
Erie Control,American,19.63495408
Erie,American,226.1946711
Erie Control,Chinese,18.84955592
Erie Control,Hybrid,19.63495408
Erie Control,Red,19.63495408
Erie Control,American,28.27433388
Erie,Chinese,103.6725576
Erie Control,Chinese,37.69911184
Erie,Hybrid,62.83185307
Erie Control,Hybrid,37.69911184
Erie Control,Red,27.48893572
Erie Control,American,62.83185307
Erie Control,Chinese,23.5619449
Erie,Red,50.26548246
Erie,American,78.53981634
Erie,Chinese,120.9513172
Erie Control,Hybrid,28.27433388
Erie Control,Red,19.63495408
Erie Control,American,28.27433388
Erie Control,Chinese,23.5619449
Erie,Hybrid,94.24777961
Erie Control,Hybrid,15.70796327
Erie Control,Red,32.98672286
Erie,Red,69.11503838
Erie,American,50.26548246
Erie,Chinese,131.9468915
Erie,Hybrid,56.54866776
Erie Control,American,38.48451001
Erie Control,Chinese,23.5619449
Erie,Red,54.97787144
Erie Control,Hybrid,19.63495408
Erie,American,95.03317777
Erie,Chinese,387.2012946
Erie Control,Red,12.56637061
Erie,Hybrid,77.75441818
Erie,Red,38.48451001
Erie,American,94.24777961
Erie,Chinese,439.8229715
Erie,Hybrid,43.98229715
Erie,Red,47.1238898
Erie Control,American,23.5619449
Erie,American,103.6725576
Erie,Chinese,208.9159115
Erie,Hybrid,31.41592654
Erie Control,Chinese,18.84955592
Erie,Red,81.68140899
Erie Control,Hybrid,23.5619449
Erie Control,Red,19.63495408
Erie,American,153.1526419
Erie,Chinese,65.97344573
Erie Control,American,23.5619449
Erie Control,Chinese,14.13716694
Erie,Hybrid,141.3716694
Erie Control,Hybrid,32.98672286
Erie,Red,43.98229715
Erie,American,62.83185307
Erie Control,Red,27.48893572
Erie Control,American,43.98229715
Erie,Chinese,95.03317777
Erie,Hybrid,78.53981634
Erie Control,Chinese,27.48893572
Erie,Red,120.9513172
Erie Control,Hybrid,32.98672286
Erie Control,Red,31.41592654
