Container,Species,Treatment,# of bark slices plated,# of slices yielding colonies,# of colonies on plate,# of colonies G. castaneae in appearance,,,
1A,American,Erie,-,-,-,-,,,- plate dropped and samples lost
2A,American,Erie Control,5,1,1,0,,,* 6 sample slices taken
3C,Chinese,Erie Control,6*,6,8,0,,,**only 4 slices could be collected
4C,Chinese,Erie,5,5,5,4,,,
5H,Hybrid,Erie Control,5,3,3,0,,,
6O,Red,Erie Control,5,5,5,0,,,
7A,American,Erie Control,5,4,4,0,,,
8C,Chinese,Erie Control,5,3,3,0,,,
9H,Hybrid,Erie Control,5,4,4,0,,,
10H,Hybrid,Erie,5,5,5,5,,,
11O,Red,Erie,5,5,5,5,,,
12A,American,Erie,5,5,5,5,,,
13O,Red,Erie Control,5,4,4,0,,,
14C,Chinese,Erie,5,5,5,5,,,
15H,Hybrid,Erie,5,5,5,5,,,
16A,American,Erie Control,5,3,3,0,,,
17C,Chinese,Erie Control,5,5,7,0,,,
18H,Hybrid,Erie Control,5,5,5,0,,,
19O,Red,Erie,5,5,5,5,,,
20O,Red,Erie Control,5,5,5,0,,,
21A,American,Erie Control,5,3,3,0,,,
22C,Chinese,Erie Control,5,3,3,0,,,
23A,American,Erie,5,5,5,5,,,
24H,Hybrid,Erie Control,5,2,2,0,,,
25C,Chinese,Erie,5,5,5,5,,,
26H,Hybrid,Erie,5,5,5,5,,,
27O,Red,Erie,5,5,5,5,,,
28A,American,Erie,5,5,5,5,,,
28A base canker,,,4,4,4,0,,,
29C,Chinese,Erie,5,5,5,5,,,
30O,Red,Erie Control,5,5,6,0,,,
31H,Hybrid,Erie,4**,4,4,4,,,
32O,Red,Erie,5,5,5,5,,,
33A,American,Erie Control,5,4,6,0,,,
34A,American,Erie,5,5,5,5,,,
35C,Chinese,Erie Control,5,4,6,0,,,
36H,Hybrid,Erie Control,5,0,0,0,,,
37O,Red,Erie Control,5,5,6,0,,,
38A,American,Erie Control,5,3,3,0,,,
39C,Chinese,Erie,5,5,5,5,,,
40C,Chinese,Erie Control,5,3,3,0,,,
41H,Hybrid,Erie,5,5,5,5,,,
42H,Hybrid,Erie Control,5,0,0,0,,,
43O,Red,Erie Control,5,5,9,0,,,
44A,American,Erie Control,5,5,8,0,,,
45C,Chinese,Erie Control,5,5,8,0,,,
46O,Red,Erie,5,5,11,2,,,
47A,American,Erie,4**,4,4,4,,,
48C,Chinese,Erie,5,5,5,5,,,
49H,Hybrid,Erie Control,5,4,5,0,,,
50O,Red,Erie Control,5,5,12,0,,,
51A,American,Erie Control,5,4,5,0,,,
52C,Chinese,Erie Control,5,4,5,0,,,
53H,Hybrid,Erie,5,5,5,5,,,
54H,Hybrid,Erie Control,5,4,4,0,,,
55O,Red,Erie Control,5,5,8,0,,,
56O,Red,Erie,5,5,6,5,,,
57A,American,Erie,5,5,5,5,,,
58C,Chinese,Erie,5,5,5,5,,,
59H,Hybrid,Erie,5,5,5,5,,,
60A,American,Erie Control,5,4,4,0,,,
61C,Chinese,Erie Control,5,5,6,0,,,
62O,Red,Erie,5,5,8,5,,,
63H,Hybrid,Erie Control,5,3,3,0,,,
64A,American,Erie,5,5,5,5,,,
65C,Chinese,Erie,5,5,5,5,,,
66O,Red,Erie Control,5,5,7,0,,,
67H,Hybrid,Erie,5,5,5,5,,,
68O,Red,Erie,5,5,5,4,,,
69A,American,Erie,5,5,5,5,,,
70C,Chinese,Erie,5,5,5,5,,,
71H,Hybrid,Erie,5,5,5,5,,,
72O,Red,Erie,5,5,9,4,,,
73A,American,Erie Control,5,2,3,0,,,
74A,American,Erie,5,5,5,5,,,
75C,Chinese,Erie,5,5,5,5,,,
76H,Hybrid,Erie,5,5,5,5,,,
77C,Chinese,Erie Control,5,5,9,0,,,
78O,Red,Erie,5,5,9,0,,,
79H,Hybrid,Erie Control,5,2,2,0,,,
80O,Red,Erie Control,5,5,5,0,,,
81A,American,Erie,5,5,5,5,,,
82C,Chinese,Erie,5,5,5,5,,,
83A,American,Erie Control,5,5,8,0,,,
84C,Chinese,Erie Control,5,2,2,0,,,
85H,Hybrid,Erie,5,5,5,5,,,
86H,Hybrid,Erie Control,5,4,4,0,,,
87O,Red,Erie,5,5,5,5,,,
88A,American,Erie,5,5,5,5,,,
89O,Red,Erie Control,5,5,5,0,,,
90A,American,Erie Control,5,5,6,0,,,
91C,Chinese,Erie,5,5,5,5,,,
92H,Hybrid,Erie,5,5,5,5,,,
93C,Chinese,Erie Control,5,3,4,0,,,
94O,Red,Erie,5,5,5,3,,,
95H,Hybrid,Erie Control,5,5,7,0,,,
96O,Red,Erie Control,5,3,5,0,,,
