Treatment,Species,Rank
Erie,American,4
Erie Control,American,0
Erie Control,Chinese,0
Erie,Chinese,4
Erie Control,Hybrid,0
Erie Control,Red,1
Erie Control,American,0
Erie Control,Chinese,0
Erie Control,Hybrid,0
Erie,Hybrid,2
Erie,Red,1
Erie,American,2
Erie Control,Red,1
Erie,Chinese,4
Erie,Hybrid,3
Erie Control,American,0
Erie Control,Chinese,0
Erie Control,Hybrid,0
Erie,Red,2
Erie Control,Red,1
Erie Control,American,0
Erie Control,Chinese,0
Erie,American,2
Erie Control,Hybrid,0
Erie,Chinese,4
Erie,Hybrid,3
Erie,Red,0
Erie,American,2
Erie,Chinese,2
Erie Control,Red,1
Erie,Hybrid,2
Erie,Red,2
Erie Control,American,0
Erie,American,4
Erie Control,Chinese,0
Erie Control,Hybrid,0
Erie Control,Red,1
Erie Control,American,0
Erie,Chinese,2
Erie Control,Chinese,0
Erie,Hybrid,2
Erie Control,Hybrid,0
Erie Control,Red,0
Erie Control,American,1
Erie Control,Chinese,0
Erie,Red,2
Erie,American,2
Erie,Chinese,3
Erie Control,Hybrid,0
Erie Control,Red,0
Erie Control,American,0
Erie Control,Chinese,0
Erie,Hybrid,2
Erie Control,Hybrid,0
Erie Control,Red,1
Erie,Red,1
Erie,American,2
Erie,Chinese,3
Erie,Hybrid,2
Erie Control,American,1
Erie Control,Chinese,0
Erie,Red,2
Erie Control,Hybrid,0
Erie,American,2
Erie,Chinese,4
Erie Control,Red,1
Erie,Hybrid,3
Erie,Red,2
Erie,American,3
Erie,Chinese,4
Erie,Hybrid,2
Erie,Red,2
Erie Control,American,0
Erie,American,3
Erie,Chinese,4
Erie,Hybrid,1
Erie Control,Chinese,0
Erie,Red,2
Erie Control,Hybrid,0
Erie Control,Red,1
Erie,American,3
Erie,Chinese,1
Erie Control,American,2
Erie Control,Chinese,0
Erie,Hybrid,3
Erie Control,Hybrid,0
Erie,Red,2
Erie,American,2
Erie Control,Red,2
Erie Control,American,1
Erie,Chinese,1
Erie,Hybrid,3
Erie Control,Chinese,1
Erie,Red,2
Erie Control,Hybrid,0
Erie Control,Red,2
